code,exchange,id,listDate,name,type
XRP-BTC,kraken,cryptocurrency_kraken_XRP-BTC,,XRP/BTC,cryptocurrency
LTC-EUR,kraken,cryptocurrency_kraken_LTC-EUR,,LTC/EUR,cryptocurrency
ZEC-EUR,kraken,cryptocurrency_kraken_ZEC-EUR,,ZEC/EUR,cryptocurrency
ETH-CAD,kraken,cryptocurrency_kraken_ETH-CAD,,ETH/CAD,cryptocurrency
USDT-USD,kraken,cryptocurrency_kraken_USDT-USD,,USDT/USD,cryptocurrency
ETH-EUR,kraken,cryptocurrency_kraken_ETH-EUR,,ETH/EUR,cryptocurrency
ETC-USD,kraken,cryptocurrency_kraken_ETC-USD,,ETC/USD,cryptocurrency
ZEC-JPY,kraken,cryptocurrency_kraken_ZEC-JPY,,ZEC/JPY,cryptocurrency
REP-USD,kraken,cryptocurrency_kraken_REP-USD,,REP/USD,cryptocurrency
BTC-JPY,kraken,cryptocurrency_kraken_BTC-JPY,,BTC/JPY,cryptocurrency
XBTJPY.d,kraken,cryptocurrency_kraken_XBTJPY.d,,XBTJPY.d,cryptocurrency
EOS-EUR,kraken,cryptocurrency_kraken_EOS-EUR,,EOS/EUR,cryptocurrency
ETHGBP.d,kraken,cryptocurrency_kraken_ETHGBP.d,,ETHGBP.d,cryptocurrency
XRP-CAD,kraken,cryptocurrency_kraken_XRP-CAD,,XRP/CAD,cryptocurrency
ETC-EUR,kraken,cryptocurrency_kraken_ETC-EUR,,ETC/EUR,cryptocurrency
XRP-JPY,kraken,cryptocurrency_kraken_XRP-JPY,,XRP/JPY,cryptocurrency
XLM-BTC,kraken,cryptocurrency_kraken_XLM-BTC,,XLM/BTC,cryptocurrency
ZEC-BTC,kraken,cryptocurrency_kraken_ZEC-BTC,,ZEC/BTC,cryptocurrency
ETHEUR.d,kraken,cryptocurrency_kraken_ETHEUR.d,,ETHEUR.d,cryptocurrency
XLM-EUR,kraken,cryptocurrency_kraken_XLM-EUR,,XLM/EUR,cryptocurrency
XRP-USD,kraken,cryptocurrency_kraken_XRP-USD,,XRP/USD,cryptocurrency
ICN-BTC,kraken,cryptocurrency_kraken_ICN-BTC,,ICN/BTC,cryptocurrency
ETH-JPY,kraken,cryptocurrency_kraken_ETH-JPY,,ETH/JPY,cryptocurrency
BTC-EUR,kraken,cryptocurrency_kraken_BTC-EUR,,BTC/EUR,cryptocurrency
DASH-USD,kraken,cryptocurrency_kraken_DASH-USD,,DASH/USD,cryptocurrency
BTC-USD,kraken,cryptocurrency_kraken_BTC-USD,,BTC/USD,cryptocurrency
MLN-BTC,kraken,cryptocurrency_kraken_MLN-BTC,,MLN/BTC,cryptocurrency
LTC-USD,kraken,cryptocurrency_kraken_LTC-USD,,LTC/USD,cryptocurrency
GNO-USD,kraken,cryptocurrency_kraken_GNO-USD,,GNO/USD,cryptocurrency
DASH-EUR,kraken,cryptocurrency_kraken_DASH-EUR,,DASH/EUR,cryptocurrency
REP-BTC,kraken,cryptocurrency_kraken_REP-BTC,,REP/BTC,cryptocurrency
EOS-USD,kraken,cryptocurrency_kraken_EOS-USD,,EOS/USD,cryptocurrency
ICN-ETH,kraken,cryptocurrency_kraken_ICN-ETH,,ICN/ETH,cryptocurrency
