code,exchange,id,name,type
au1301,shfe,future_shfe_au1301,黄金au,future
au1302,shfe,future_shfe_au1302,黄金au,future
au1303,shfe,future_shfe_au1303,黄金au,future
au1304,shfe,future_shfe_au1304,黄金au,future
au1305,shfe,future_shfe_au1305,黄金au,future
au1306,shfe,future_shfe_au1306,黄金au,future
au1307,shfe,future_shfe_au1307,黄金au,future
au1308,shfe,future_shfe_au1308,黄金au,future
au1309,shfe,future_shfe_au1309,黄金au,future
au1310,shfe,future_shfe_au1310,黄金au,future
au1311,shfe,future_shfe_au1311,黄金au,future
au1312,shfe,future_shfe_au1312,黄金au,future
au1401,shfe,future_shfe_au1401,黄金au,future
au1402,shfe,future_shfe_au1402,黄金au,future
au1403,shfe,future_shfe_au1403,黄金au,future
au1404,shfe,future_shfe_au1404,黄金au,future
au1405,shfe,future_shfe_au1405,黄金au,future
au1406,shfe,future_shfe_au1406,黄金au,future
au1407,shfe,future_shfe_au1407,黄金au,future
au1408,shfe,future_shfe_au1408,黄金au,future
au1410,shfe,future_shfe_au1410,黄金au,future
au1412,shfe,future_shfe_au1412,黄金au,future
bu1402,shfe,future_shfe_bu1402,石油沥青bu,future
bu1403,shfe,future_shfe_bu1403,石油沥青bu,future
bu1404,shfe,future_shfe_bu1404,石油沥青bu,future
bu1405,shfe,future_shfe_bu1405,石油沥青bu,future
bu1406,shfe,future_shfe_bu1406,石油沥青bu,future
bu1409,shfe,future_shfe_bu1409,石油沥青bu,future
bu1412,shfe,future_shfe_bu1412,石油沥青bu,future
bu1503,shfe,future_shfe_bu1503,石油沥青bu,future
bu1506,shfe,future_shfe_bu1506,石油沥青bu,future
bu1509,shfe,future_shfe_bu1509,石油沥青bu,future
bu1512,shfe,future_shfe_bu1512,石油沥青bu,future
cu1301,shfe,future_shfe_cu1301,铜cu,future
cu1302,shfe,future_shfe_cu1302,铜cu,future
cu1303,shfe,future_shfe_cu1303,铜cu,future
cu1304,shfe,future_shfe_cu1304,铜cu,future
cu1305,shfe,future_shfe_cu1305,铜cu,future
cu1306,shfe,future_shfe_cu1306,铜cu,future
cu1307,shfe,future_shfe_cu1307,铜cu,future
cu1308,shfe,future_shfe_cu1308,铜cu,future
cu1309,shfe,future_shfe_cu1309,铜cu,future
cu1310,shfe,future_shfe_cu1310,铜cu,future
cu1311,shfe,future_shfe_cu1311,铜cu,future
cu1312,shfe,future_shfe_cu1312,铜cu,future
cu1401,shfe,future_shfe_cu1401,铜cu,future
cu1402,shfe,future_shfe_cu1402,铜cu,future
cu1403,shfe,future_shfe_cu1403,铜cu,future
cu1404,shfe,future_shfe_cu1404,铜cu,future
cu1405,shfe,future_shfe_cu1405,铜cu,future
cu1406,shfe,future_shfe_cu1406,铜cu,future
cu1407,shfe,future_shfe_cu1407,铜cu,future
cu1408,shfe,future_shfe_cu1408,铜cu,future
cu1409,shfe,future_shfe_cu1409,铜cu,future
cu1410,shfe,future_shfe_cu1410,铜cu,future
cu1411,shfe,future_shfe_cu1411,铜cu,future
cu1412,shfe,future_shfe_cu1412,铜cu,future
fu1303,shfe,future_shfe_fu1303,燃料油fu,future
fu1304,shfe,future_shfe_fu1304,燃料油fu,future
fu1305,shfe,future_shfe_fu1305,燃料油fu,future
fu1306,shfe,future_shfe_fu1306,燃料油fu,future
fu1307,shfe,future_shfe_fu1307,燃料油fu,future
fu1308,shfe,future_shfe_fu1308,燃料油fu,future
fu1309,shfe,future_shfe_fu1309,燃料油fu,future
fu1310,shfe,future_shfe_fu1310,燃料油fu,future
fu1311,shfe,future_shfe_fu1311,燃料油fu,future
fu1312,shfe,future_shfe_fu1312,燃料油fu,future
fu1402,shfe,future_shfe_fu1402,燃料油fu,future
fu1403,shfe,future_shfe_fu1403,燃料油fu,future
fu1404,shfe,future_shfe_fu1404,燃料油fu,future
fu1405,shfe,future_shfe_fu1405,燃料油fu,future
