timestamp,code,name,low,open,close,high,volume,turnover,securityId,preClose,change,changePct,turnoverRate,tCap,mCap,factor
20000104,AAPL,Apple Inc.,101.19,108.25,102.5,110.62,18310000,1934268400.0,stock_nasdaq_AAPL,111.94,-9.439999999999998,-8.43,0,0,0,0
20000105,AAPL,Apple Inc.,103.0,103.75,104.0,110.56,27818000,2930000395.0,stock_nasdaq_AAPL,102.5,1.5,1.46,0,0,0,0
20000106,AAPL,Apple Inc.,95.0,106.12,95.0,107.0,27443200,2765725696.0,stock_nasdaq_AAPL,104.0,-9.0,-8.65,0,0,0,0
20000107,AAPL,Apple Inc.,95.5,96.5,99.5,101.0,16463200,1615451500.0,stock_nasdaq_AAPL,95.0,4.5,4.74,0,0,0,0
20000110,AAPL,Apple Inc.,94.75,102.0,97.75,102.25,18059200,1791246900.0,stock_nasdaq_AAPL,99.5,-1.75,-1.76,0,0,0,0
20000111,AAPL,Apple Inc.,90.5,95.94,92.75,99.37,15775200,1492964928.0,stock_nasdaq_AAPL,97.75,-5.0,-5.12,0,0,0,0
20000112,AAPL,Apple Inc.,86.5,95.0,87.19,95.5,34870800,3174899163.0,stock_nasdaq_AAPL,92.75,-5.560000000000002,-5.99,0,0,0,0
20000113,AAPL,Apple Inc.,92.5,94.48,96.75,98.75,36882400,3526695088.0,stock_nasdaq_AAPL,87.19,9.560000000000002,10.96,0,0,0,0
20000114,AAPL,Apple Inc.,99.37,100.0,100.44,102.25,13954400,1402626516.0,stock_nasdaq_AAPL,96.75,3.6899999999999977,3.81,0,0,0,0
20000118,AAPL,Apple Inc.,100.44,101.0,103.94,106.0,16421200,1688838314.0,stock_nasdaq_AAPL,100.44,3.5,3.48,0,0,0,0
20000119,AAPL,Apple Inc.,103.37,105.62,106.56,108.75,21358000,2265549850.0,stock_nasdaq_AAPL,103.94,2.6200000000000045,2.52,0,0,0,0
20000120,AAPL,Apple Inc.,113.5,115.5,113.5,121.5,65418800,7588580800.0,stock_nasdaq_AAPL,106.56,6.939999999999998,6.51,0,0,0,0
20000121,AAPL,Apple Inc.,110.19,114.25,111.31,114.25,17729200,1994535000.0,stock_nasdaq_AAPL,113.5,-2.1899999999999977,-1.93,0,0,0,0
20000124,AAPL,Apple Inc.,105.12,108.44,106.25,112.75,15760000,1704286400.0,stock_nasdaq_AAPL,111.31,-5.060000000000002,-4.55,0,0,0,0
20000125,AAPL,Apple Inc.,102.37,105.0,112.25,113.12,17775200,1923010012.0,stock_nasdaq_AAPL,106.25,6.0,5.65,0,0,0,0
20000126,AAPL,Apple Inc.,109.75,110.0,110.19,114.19,13131200,1457989964.0,stock_nasdaq_AAPL,112.25,-2.0600000000000023,-1.84,0,0,0,0
20000127,AAPL,Apple Inc.,107.0,108.81,110.0,113.0,12163600,1334377329.0,stock_nasdaq_AAPL,110.19,-0.18999999999999773,-0.17,0,0,0,0
20000128,AAPL,Apple Inc.,100.62,108.19,101.62,110.87,15142000,1594831150.0,stock_nasdaq_AAPL,110.0,-8.379999999999995,-7.62,0,0,0,0
20000131,AAPL,Apple Inc.,94.5,101.0,103.75,103.87,25071200,2526675536.0,stock_nasdaq_AAPL,101.62,2.1299999999999955,2.1,0,0,0,0
20000201,AAPL,Apple Inc.,100.0,104.0,100.25,105.0,11380000,1164316250.0,stock_nasdaq_AAPL,103.75,-3.5,-3.37,0,0,0,0
20000202,AAPL,Apple Inc.,97.0,100.75,98.81,102.12,16588800,1653405696.0,stock_nasdaq_AAPL,100.25,-1.4399999999999977,-1.44,0,0,0,0
20000203,AAPL,Apple Inc.,100.25,100.31,103.31,104.25,16977600,1732224528.0,stock_nasdaq_AAPL,98.81,4.5,4.55,0,0,0,0
20000204,AAPL,Apple Inc.,103.62,103.94,108.0,110.0,15206800,1617851452.0,stock_nasdaq_AAPL,103.31,4.689999999999998,4.54,0,0,0,0
