code,name,listDate,exchange,type,id,sinaIndustry,sinaConcept,sinaArea,sector,industry,timestamp
600000,浦发银行,1999-11-10,sh,stock,stock_sh_600000,金融行业,"['融资融券', '国企改革', '保险重仓', '基金重仓', '信托重仓', '超大盘', '上海本地']",上海,,,1999-11-10
600004,白云机场,2003-04-28,sh,stock,stock_sh_600004,交通运输,"['参股金融', '含可转债', '广东自贸', 'QFII重仓', '金融参股', '整体上市']","['广州', '广东']",,,2003-04-28
600006,东风汽车,1999-07-27,sh,stock,stock_sh_600006,汽车制造,业绩预降,湖北,,,1999-07-27
600007,中国国贸,1999-03-12,sh,stock,stock_sh_600007,开发区,"['QFII重仓', '外资背景']",北京,,,1999-03-12
600008,首创股份,2000-04-27,sh,stock,stock_sh_600008,环保行业,"['海水淡化', '雄安新区', '节能环保', '污水处理', '新三板', '固废处理']",北京,,,2000-04-27
600009,上海机场,1998-02-18,sh,stock,stock_sh_600009,交通运输,"['迪士尼', '融资融券', '国企改革', '保险重仓', 'QFII重仓', '信托重仓', '整体上市', '上海本地']",上海,,,1998-02-18
600010,包钢股份,2001-03-09,sh,stock,stock_sh_600010,钢铁行业,"['低碳经济', '融资融券', '整体上市', '铁路基建']",内蒙古,,,2001-03-09
600011,华能国际,2001-12-06,sh,stock,stock_sh_600011,电力行业,"['低碳经济', '融资融券', '基金重仓', '整体上市', '含H股', '央企50']",北京,,,2001-12-06
600012,皖通高速,2003-01-07,sh,stock,stock_sh_600012,公路桥梁,"['QFII重仓', '民营银行', '新三板', '含H股', '金融改革', '皖江区域']",安徽,,,2003-01-07
600015,华夏银行,2003-09-12,sh,stock,stock_sh_600015,金融行业,"['融资融券', 'QFII重仓']",北京,,,2003-09-12
600016,民生银行,2000-12-19,sh,stock,stock_sh_600016,金融行业,"['融资融券', '保险重仓', '基金重仓', '含H股']",北京,,,2000-12-19
600017,日照港,2006-10-17,sh,stock,stock_sh_600017,交通运输,"['海上丝路', '日韩贸易', '自贸区', '东亚自贸']",山东,,,2006-10-17
600018,上港集团,2006-10-26,sh,stock,stock_sh_600018,交通运输,"['QFII重仓', '金融参股', '整体上市', '上海本地', '上海自贸']",上海,,,2006-10-26
600019,宝钢股份,2000-12-12,sh,stock,stock_sh_600019,钢铁行业,"['海工装备', '融资融券', 'QFII重仓', '整体上市', '超大盘', '央企50', '上海本地', '业绩预降', '重组概念']",上海,,,2000-12-12
600020,中原高速,2003-08-08,sh,stock,stock_sh_600020,公路桥梁,"['参股金融', '金融参股']",河南,,,2003-08-08
600021,上海电力,2003-10-29,sh,stock,stock_sh_600021,电力行业,"['参股金融', '太阳能', '业绩预升', '上海本地']",上海,,,2003-10-29
600022,山东钢铁,2004-06-29,sh,stock,stock_sh_600022,钢铁行业,"['参股金融', '低碳经济', '融资融券', '保障房']",山东,,,2004-06-29
600023,浙能电力,2013-12-19,sh,stock,stock_sh_600023,电力行业,核电核能,浙江,,,2013-12-19
600026,中远海能,2002-05-23,sh,stock,stock_sh_600026,交通运输,含H股,上海,,,2002-05-23
600027,华电国际,2005-02-03,sh,stock,stock_sh_600027,电力行业,"['参股金融', '生物质能', '分拆上市', '融资融券', '信托重仓', '业绩预升', '整体上市', '含H股', '新能源', '央企50']",山东,,,2005-02-03
600028,中国石化,2001-08-08,sh,stock,stock_sh_600028,石油行业,"['券商重仓', '融资融券', '保险重仓', '基金重仓', '含H股', '超大盘', '央企50']",北京,,,2001-08-08
600029,南方航空,2003-07-25,sh,stock,stock_sh_600029,交通运输,"['参股金融', '融资融券', '保险重仓', '含H股', '社保重仓', '央企50']","['广州', '广东']",,,2003-07-25
600030,中信证券,2003-01-06,sh,stock,stock_sh_600030,金融行业,"['券商重仓', '股期概念', '融资融券', '保险重仓', '基金重仓', '含H股', '超大盘', '央企50']","['深圳', '广东']",,,2003-01-06
600031,三一重工,2003-07-03,sh,stock,stock_sh_600031,机械行业,"['含可转债', '长株潭', '股权激励', '融资融券', '保险重仓', 'QFII重仓', '整体上市', '国防军工', '军工航天']",北京,,,2003-07-03
600033,福建高速,2001-02-09,sh,stock,stock_sh_600033,公路桥梁,海峡西岸,福建,,,2001-02-09
600035,楚天高速,2004-03-10,sh,stock,stock_sh_600035,公路桥梁,"['物联网', '武汉规划', '重组概念']",湖北,,,2004-03-10
600036,招商银行,2002-04-09,sh,stock,stock_sh_600036,金融行业,"['深圳本地', '融资融券', '保险重仓', '基金重仓', '前海概念', '含H股', '超大盘', '央企50']","['深圳', '广东']",,,2002-04-09
600037,歌华有线,2001-02-08,sh,stock,stock_sh_600037,传媒娱乐,"['三网融合', '文化振兴', '博彩概念', '阿里概念', '云计算']",北京,,,2001-02-08
600038,中直股份,2000-12-18,sh,stock,stock_sh_600038,飞机制造,"['券商重仓', '军民融合', '融资融券', '整体上市', '国防军工', '军工航天']",黑龙江,,,2000-12-18
600039,四川路桥,2003-03-25,sh,stock,stock_sh_600039,建筑建材,"['参股金融', '成渝特区', '融资融券', '涉矿概念']",四川,,,2003-03-25
600048,保利地产,2006-07-31,sh,stock,stock_sh_600048,房地产,"['券商重仓', '股权激励', '融资融券', '保险重仓', '保障房', '基金重仓', '社保重仓', '央企50']","['广州', '广东']",,,2006-07-31
600050,中国联通,2002-10-09,sh,stock,stock_sh_600050,电子信息,"['5G概念', '4G概念', '三网融合', '融资融券', '基金重仓', '苹果概念', '社保重仓', '超大盘', '央企50']",北京,,,2002-10-09
600051,宁波联合,1997-04-10,sh,stock,stock_sh_600051,综合行业,"['股权激励', '业绩预降', '涉矿概念']",浙江,,,1997-04-10
600052,浙江广厦,1997-04-18,sh,stock,stock_sh_600052,房地产,"['参股金融', '金融参股']",浙江,,,1997-04-18
600053,九鼎投资,1997-04-18,sh,stock,stock_sh_600053,房地产,业绩预升,江西,,,1997-04-18
600054,黄山旅游,1997-05-06,sh,stock,stock_sh_600054,酒店旅游,"['参股金融', '含B股', '金融参股']",安徽,,,1997-05-06
600055,万东医疗,1997-05-19,sh,stock,stock_sh_600055,医疗器械,阿里概念,北京,,,1997-05-19
600056,中国医药,1997-05-15,sh,stock,stock_sh_600056,商业百货,"['参股金融', '金融参股']",北京,,,1997-05-15
600057,象屿股份,1997-06-04,sh,stock,stock_sh_600057,交通运输,"['参股金融', '海峡西岸']",福建,,,1997-06-04
600058,五矿发展,1997-05-28,sh,stock,stock_sh_600058,物资外贸,"['融资融券', '阿里概念', '稀土永磁', '央企50']",北京,,,1997-05-28
600059,古越龙山,1997-05-16,sh,stock,stock_sh_600059,酿酒行业,"['参股金融', '融资融券', 'O2O模式', '金融参股', '新零售']",浙江,,,1997-05-16
600060,海信电器,1997-04-22,sh,stock,stock_sh_600060,家电行业,"['券商重仓', '日韩贸易', '股权激励', '融资融券', '基金重仓', '社保重仓']",山东,,,1997-04-22
600061,国投安信,1997-05-19,sh,stock,stock_sh_600061,化纤行业,"['上海本地', '上海自贸']",上海,,,1997-05-19
600062,华润双鹤,1997-05-22,sh,stock,stock_sh_600062,生物制药,"['甲型流感', '生物疫苗', '融资融券', '基金重仓', 'QFII重仓', '仿制药', '重组概念']",北京,,,1997-05-22
600063,皖维高新,1997-05-28,sh,stock,stock_sh_600063,化纤行业,"['参股金融', '融资融券', '金融参股', '皖江区域']",安徽,,,1997-05-28
600064,南京高科,1997-05-06,sh,stock,stock_sh_600064,开发区,"['参股金融', '创投概念', '金融参股', '抗癌', '沿海发展', '新三板', '金融改革']",江苏,,,1997-05-06
600066,宇通客车,1997-05-08,sh,stock,stock_sh_600066,汽车制造,"['股权激励', '融资融券', '保险重仓', '基金重仓', 'QFII重仓', '金融参股']",河南,,,1997-05-08
600067,冠城大通,1997-05-08,sh,stock,stock_sh_600067,房地产,"['锂电池', '海峡西岸', '股权激励', '融资融券', '信托重仓', '金融参股', '前海概念', '业绩预升']",福建,,,1997-05-08
600068,葛洲坝,1997-05-26,sh,stock,stock_sh_600068,建筑建材,"['参股金融', '军民融合', '融资融券', '水利建设', 'QFII重仓', '金融参股', '整体上市', '央企50', '武汉规划']",湖北,,,1997-05-26
600069,银鸽投资,1997-04-30,sh,stock,stock_sh_600069,造纸行业,"['参股金融', '婴童概念', '准ST股', '摘帽概念']",河南,,,1997-04-30
600070,浙江富润,1997-06-04,sh,stock,stock_sh_600070,纺织行业,"['参股金融', '金融参股', '金融改革', '重组概念']",浙江,,,1997-06-04
600071,凤凰光学,1997-05-28,sh,stock,stock_sh_600071,,"['参股金融', '锂电池', '食品安全']",江西,,,1997-05-28
600072,中船科技,1997-06-03,sh,stock,stock_sh_600072,船舶制造,"['券商重仓', '海工装备', '上海本地', '重组概念', '国防军工', '军工航天']",上海,,,1997-06-03
600073,上海梅林,1997-07-04,sh,stock,stock_sh_600073,食品行业,"['国企改革', '上海本地', '猪肉']",上海,,,1997-07-04
600074,保千里,1997-06-23,sh,stock,stock_sh_600074,电子信息,"['安防服务', '融资融券']",江苏,,,1997-06-23
600075,新疆天业,1997-06-17,sh,stock,stock_sh_600075,化工行业,"['生态农业', '水利建设', '节能']",新疆,,,1997-06-17
600076,康欣新材,1997-05-26,sh,stock,stock_sh_600076,电子信息,"['锂电池', '新能源', '重组概念', '黄河三角']",山东,,,1997-05-26
600077,宋都股份,1997-05-20,sh,stock,stock_sh_600077,房地产,"['股权激励', '融资融券']",浙江,,,1997-05-20
