timestamp,code,name,low,open,close,high,volume,turnover,securityId,preClose,change,changePct,turnoverRate,tCap,mCap,factor
2016-08-09,600977,中国电影,10.7,10.7,12.84,12.84,180324,2308726.0,stock_sh_600977,8.92,3.92,43.9462,0.0386,23972280000.0,5996280000.0,1
2016-08-10,600977,中国电影,14.12,14.12,14.12,14.12,70464,994952.0,stock_sh_600977,12.84,1.28,9.9688,0.0151,26362040000.0,6594040000.0,1
2016-08-11,600977,中国电影,15.53,15.53,15.53,15.53,67505,1048353.0,stock_sh_600977,14.12,1.41,9.9858,0.0145,28994510000.0,7252510000.0,1
2016-08-12,600977,中国电影,17.08,17.08,17.08,17.08,187196,3197308.0,stock_sh_600977,15.53,1.55,9.9807,0.0401,31888360000.0,7976360000.0,1
2016-08-15,600977,中国电影,18.79,18.79,18.79,18.79,183895,3455387.0,stock_sh_600977,17.08,1.71,10.0117,0.0394,35080930000.0,8774930000.0,1
2016-08-16,600977,中国电影,20.67,20.67,20.67,20.67,174751,3612103.0,stock_sh_600977,18.79,1.88,10.0053,0.0374,38590890000.0,9652890000.0,1
2016-08-17,600977,中国电影,22.74,22.74,22.74,22.74,279011,6344710.0,stock_sh_600977,20.67,2.07,10.0145,0.0597,42455580000.0,10619580000.0,1
2016-08-18,600977,中国电影,25.01,25.01,25.01,25.01,362604,9068726.0,stock_sh_600977,22.74,2.27,9.9824,0.0776,46693670000.0,11679670000.0,1
2016-08-19,600977,中国电影,27.51,27.51,27.51,27.51,1132164,31145832.0,stock_sh_600977,25.01,2.5,9.996,0.2424,51361170000.0,12847170000.0,1
2016-08-22,600977,中国电影,30.26,30.26,30.26,30.26,2413820,73042193.0,stock_sh_600977,27.51,2.75,9.9964,0.5169,56495420000.0,14131420000.0,1
2016-08-23,600977,中国电影,33.29,33.29,33.29,33.29,1446309,48147627.0,stock_sh_600977,30.26,3.03,10.0132,0.3097,62152430000.0,15546430000.0,1
2016-08-24,600977,中国电影,36.62,36.62,36.62,36.62,570334,20885631.0,stock_sh_600977,33.29,3.33,10.003,0.1221,68369540000.0,17101540000.0,1
2016-08-25,600977,中国电影,38.18,40.28,38.83,40.28,238530958,9379326146.0,stock_sh_600977,36.62,2.21,6.035,51.0773,72495610000.0,18133610000.0,1
2016-08-26,600977,中国电影,38.34,38.5,38.52,40.19,134146735,5247420225.0,stock_sh_600977,38.83,-0.31,-0.7984,28.7252,71916840000.0,17988840000.0,1
2016-08-29,600977,中国电影,34.71,37.56,34.74,37.56,125877228,4499417648.0,stock_sh_600977,38.52,-3.78,-9.8131,26.9544,64859580000.0,16223580000.0,1
2016-08-30,600977,中国电影,34.08,35.33,34.27,35.68,68513946,2390989382.0,stock_sh_600977,34.74,-0.47,-1.3529,14.6711,63982090000.0,16004090000.0,1
2016-08-31,600977,中国电影,33.31,34.15,34.66,35.08,78486761,2682664898.0,stock_sh_600977,34.27,0.39,1.138,16.8066,64710220000.0,16186220000.0,1
2016-09-01,600977,中国电影,33.69,34.25,34.51,35.15,63691082,2196540111.0,stock_sh_600977,34.66,-0.15,-0.4328,13.6383,64430170000.0,16116170000.0,1
2016-09-02,600977,中国电影,33.85,34.18,34.34,35.0,51483813,1773817605.0,stock_sh_600977,34.51,-0.17,-0.4926,11.0244,64112780000.0,16036780000.0,1
2016-09-05,600977,中国电影,32.78,34.3,32.8,34.5,68478892,2289143570.0,stock_sh_600977,34.34,-1.54,-4.4846,14.6636,61237600000.0,15317600000.0,1
2016-09-06,600977,中国电影,32.26,32.44,33.14,33.26,47116360,1541184472.0,stock_sh_600977,32.8,0.34,1.0366,10.0892,61872380000.0,15476380000.0,1
2016-09-07,600977,中国电影,32.62,33.0,32.66,33.35,33111719,1091400425.0,stock_sh_600977,33.14,-0.48,-1.4484,7.0903,60976220000.0,15252220000.0,1
2016-09-08,600977,中国电影,32.47,32.8,32.76,33.35,38503921,1269381973.0,stock_sh_600977,32.66,0.1,0.3062,8.245,61162920000.0,15298920000.0,1
2016-09-09,600977,中国电影,31.54,32.44,31.56,32.77,46171762,1482067528.0,stock_sh_600977,32.76,-1.2,-3.6630000000000003,9.8869,58922520000.0,14738520000.0,1
2016-09-12,600977,中国电影,29.77,30.6,29.87,30.98,38260188,1162532103.0,stock_sh_600977,31.56,-1.69,-5.3549,8.1928,55767290000.0,13949290000.0,1
2016-09-13,600977,中国电影,29.8,30.16,29.89,30.25,21192801,635038936.0,stock_sh_600977,29.87,0.02,0.067,4.5381,55804630000.0,13958630000.0,1
2016-09-14,600977,中国电影,29.0,29.68,29.17,30.12,25311121,751452466.0,stock_sh_600977,29.89,-0.72,-2.4088,5.4199,54460390000.0,13622390000.0,1
2016-09-19,600977,中国电影,29.21,29.21,29.48,29.68,19147692,563892631.0,stock_sh_600977,29.17,0.31,1.0627,4.1001,55039160000.0,13767160000.0,1
2016-09-20,600977,中国电影,29.42,29.49,29.96,30.47,32374100,972022750.0,stock_sh_600977,29.48,0.48,1.6282,6.9324,55935320000.0,13991320000.0,1
2016-09-21,600977,中国电影,29.28,29.74,29.33,29.95,21105590,624480283.0,stock_sh_600977,29.96,-0.63,-2.1028,4.5194,54759110000.0,13697110000.0,1
2016-09-22,600977,中国电影,29.15,29.6,29.22,29.6,19332371,567323287.0,stock_sh_600977,29.33,-0.11,-0.375,4.1397,54553740000.0,13645740000.0,1
2016-09-23,600977,中国电影,28.49,29.34,28.52,29.49,25807973,748204523.0,stock_sh_600977,29.22,-0.7,-2.3956,5.5263,53246840000.0,13318840000.0,1
2016-09-26,600977,中国电影,26.67,28.3,26.7,28.3,34072654,933675991.0,stock_sh_600977,28.52,-1.82,-6.3815,7.2961,49848900000.0,12468900000.0,1
2016-09-27,600977,中国电影,26.38,26.6,26.99,27.01,18464239,493348958.0,stock_sh_600977,26.7,0.29,1.0861,3.9538,50390330000.0,12604330000.0,1
2016-09-28,600977,中国电影,26.63,27.0,26.77,27.05,12895468,345854285.0,stock_sh_600977,26.99,-0.22,-0.8151,2.7613,49979590000.0,12501590000.0,1
2016-09-29,600977,中国电影,26.75,26.93,26.9,27.24,14675634,396617240.0,stock_sh_600977,26.77,0.13,0.4856,3.1425,50222300000.0,12562300000.0,1
2016-09-30,600977,中国电影,26.76,26.87,27.03,27.08,12593110,339432122.0,stock_sh_600977,26.9,0.13,0.4833,2.6966,50465010000.0,12623010000.0,1
2016-10-10,600977,中国电影,26.9,27.24,27.57,27.77,20577479,562854720.0,stock_sh_600977,27.03,0.54,1.9978,4.4063,51473190000.0,12875190000.0,1
2016-10-11,600977,中国电影,27.39,27.57,27.84,28.07,21895015,607798982.0,stock_sh_600977,27.57,0.27,0.9793,4.6884,51977280000.0,13001280000.0,1
2016-10-12,600977,中国电影,27.61,27.66,27.81,28.17,17600118,490466915.0,stock_sh_600977,27.84,-0.03,-0.1078,3.7688,51921270000.0,12987270000.0,1
2016-10-13,600977,中国电影,27.81,27.82,27.91,28.2,14972934,419258161.0,stock_sh_600977,27.81,0.1,0.3596,3.2062,52107970000.0,13033970000.0,1
2016-10-14,600977,中国电影,27.13,27.8,27.33,27.9,15566694,427198978.0,stock_sh_600977,27.91,-0.58,-2.0781,3.3333,51025110000.0,12763110000.0,1
2016-10-17,600977,中国电影,26.93,27.75,26.96,27.75,14513501,396985959.0,stock_sh_600977,27.33,-0.37,-1.3538,3.1078,50334320000.0,12590320000.0,1
2016-10-18,600977,中国电影,26.77,26.9,27.24,27.26,15098702,408295975.0,stock_sh_600977,26.96,0.28,1.0386,3.2331,50857080000.0,12721080000.0,1
