timestamp,price,volume,turnover,direction
15:00:00,16.14,0,0,-1
15:00:00,16.14,0,0,-1
15:00:00,16.15,14,22609,1
14:59:57,16.14,80,129120,-1
14:59:54,16.15,43,69445,1
14:59:51,16.15,26,41989,1
14:59:48,16.15,3,4845,1
14:59:45,16.15,2,3229,1
14:59:42,16.15,25,40375,1
14:59:39,16.14,63,101682,0
14:59:36,16.12,903,1455636,-1
14:59:33,16.16,97,156752,1
14:59:30,16.15,24,38760,-1
14:59:27,16.15,263,424744,1
14:59:24,16.15,90,145350,-1
14:59:21,16.16,52,84032,1
14:59:18,16.15,33,53294,1
14:59:15,16.15,145,234174,1
14:59:12,16.15,98,158270,-1
14:59:09,16.15,103,166344,-1
14:59:06,16.15,140,226099,-1
14:59:03,16.16,37,59792,1
14:59:00,16.16,12,19392,1
14:58:57,16.16,81,130896,1
14:58:54,16.15,57,92054,-1
14:58:51,16.15,103,166344,-1
14:58:48,16.15,60,96899,-1
14:58:45,16.16,57,92112,1
14:58:42,16.15,31,50064,-1
14:58:39,16.15,64,103359,-1
14:58:36,16.15,96,155040,1
14:58:33,16.15,222,358529,1
14:58:30,16.15,30,48449,1
14:58:27,16.15,16,25839,-1
14:58:24,16.15,45,72675,-1
14:58:21,16.16,335,541360,1
14:58:18,16.15,78,125969,-1
14:58:12,16.15,160,258399,-1
14:58:06,16.15,15,24224,-1
14:58:03,16.16,135,218160,1
14:57:57,16.16,212,342592,1
14:57:51,16.16,158,255328,1
14:57:48,16.15,52,83979,-1
14:57:44,16.16,32,51712,1
14:57:42,16.15,27,43604,-1
14:57:39,16.15,68,109819,-1
14:57:36,16.16,14,22624,1
14:57:33,16.16,140,226240,1
14:57:30,16.16,146,235936,1
14:57:27,16.15,27,43604,-1
14:57:24,16.15,28,45219,-1
14:57:21,16.16,102,164832,1
14:57:18,16.16,40,64640,1
14:57:14,16.15,35,56524,-1
14:57:11,16.15,242,390829,-1
14:57:08,16.16,118,190688,1
14:57:05,16.15,468,755819,-1
14:57:02,16.16,71,114736,1
14:56:59,16.16,34,54944,1
14:56:56,16.16,93,150288,1
14:56:53,16.15,24,38760,-1
14:56:50,16.15,52,83979,-1
14:56:47,16.16,84,135744,1
14:56:44,16.16,103,166448,1
14:56:41,16.16,28,45248,1
14:56:38,16.15,6,9690,-1
14:56:35,16.16,49,79184,1
14:56:32,16.16,26,42016,1
14:56:29,16.16,142,229472,1
14:56:26,16.16,457,738512,1
14:56:23,16.15,18,29069,-1
14:56:20,16.16,80,129280,1
14:56:17,16.15,41,66215,-1
14:56:14,16.16,45,72720,1
14:56:11,16.15,6,9690,-1
14:56:08,16.16,16,25856,1
14:56:05,16.15,49,79135,-1
14:56:02,16.16,175,282800,1
14:55:59,16.15,20,32299,-1
14:55:56,16.16,53,85648,1
14:55:53,16.15,36,58139,-1
14:55:50,16.15,80,129199,-1
14:55:47,16.15,13,20994,-1
14:55:44,16.15,36,58139,-1
14:55:41,16.15,20,32299,-1
14:55:38,16.16,131,211696,1
14:55:35,16.15,231,373064,-1
14:55:32,16.16,30,48480,1
14:55:29,16.15,135,218024,-1
14:55:26,16.16,14,22624,1
14:55:20,16.16,18,29088,1
14:55:17,16.15,13,20994,-1
14:55:14,16.15,17,27454,-1
14:55:11,16.16,12,19392,1
14:55:08,16.16,41,66256,1
14:55:05,16.16,41,66256,1
14:55:02,16.16,156,252322,-1
14:54:59,16.16,58,93728,-1
14:54:56,16.17,58,93786,1
14:54:53,16.16,80,129280,-1
14:54:50,16.16,252,407232,-1
14:54:47,16.17,113,182721,1
14:54:44,16.17,97,156849,1
14:54:41,16.16,25,40400,-1
14:54:38,16.17,1,1617,1
14:54:35,16.17,35,56595,1
14:54:29,16.16,80,129280,-1
14:54:26,16.16,9,14544,-1
14:54:23,16.16,173,279568,-1
14:54:20,16.17,10,16170,1
14:54:17,16.16,107,172912,-1
14:54:14,16.16,10,16160,-1
14:54:11,16.16,6,9696,-1
14:54:08,16.17,12,19404,1
14:54:05,16.16,96,155136,-1
14:54:02,16.16,38,61408,-1
14:53:59,16.16,87,140592,-1
14:53:56,16.17,17,27489,1
14:53:53,16.17,8,12936,1
14:53:50,16.16,49,79184,-1
14:53:47,16.16,34,54944,-1
14:53:44,16.16,76,122816,-1
14:53:41,16.17,50,80850,1
14:53:38,16.16,6,9696,-1
14:53:35,16.16,22,35552,-1
14:53:32,16.16,45,72720,-1
14:53:29,16.16,45,72720,-1
14:53:26,16.16,51,82416,-1
14:53:23,16.16,46,75725,1
14:53:20,16.16,57,92112,1
14:53:17,16.16,63,102034,-1
14:53:14,16.17,131,211827,1
14:53:11,16.16,418,675488,-1
14:53:08,16.16,52,84032,-1
14:53:05,16.16,94,151904,-1
14:53:02,16.16,130,210080,-1
14:52:59,16.17,1,1617,1
14:52:56,16.17,57,92169,1
14:52:53,16.17,14,22638,1
14:52:50,16.17,125,202125,1
14:52:47,16.17,95,153615,1
14:52:41,16.17,44,71148,1
14:52:38,16.17,16,25872,1
14:52:35,16.17,18,29106,1
14:52:29,16.16,7,11312,-1
14:52:26,16.17,8,12936,1
14:52:23,16.17,60,97020,1
14:52:20,16.17,79,127743,1
14:52:17,16.17,99,160083,1
14:52:14,16.16,22,35552,-1
14:52:11,16.17,737,1191729,1
14:52:08,16.17,89,143913,1
14:52:05,16.16,52,84032,-1
14:52:02,16.17,27,43659,1
14:51:59,16.17,30,48510,1
14:51:56,16.17,5,8085,1
14:51:53,16.17,4,6468,1
14:51:50,16.16,24,38784,-1
14:51:47,16.16,13,21008,-1
14:51:44,16.17,35,56595,1
14:51:41,16.16,227,366832,-1
14:51:38,16.16,24,38784,-1
14:51:35,16.17,60,97020,1
14:51:32,16.16,157,255101,1
14:51:29,16.16,13,21008,1
14:51:26,16.16,22,35552,1
14:51:23,16.16,49,79184,1
14:51:14,16.16,4,6464,1
14:51:11,16.16,31,50096,1
14:51:08,16.16,41,66256,1
14:51:05,16.16,89,143824,1
14:51:02,16.16,36,58176,1
14:50:59,16.16,5,8080,1
14:50:56,16.16,89,143824,1
14:50:53,16.16,18,29088,1
14:50:50,16.16,405,654480,1
14:50:47,16.16,31,50096,1
14:50:44,16.16,37,59792,1
14:50:41,16.16,88,142208,1
14:50:38,16.16,3,4848,1
14:50:35,16.16,19,30704,1
14:50:32,16.16,106,171296,1
14:50:29,16.16,118,190688,1
14:50:26,16.16,9,14544,1
14:50:23,16.16,13,21008,1
14:50:20,16.16,13,21008,1
14:50:17,16.16,12,19392,1
14:50:14,16.16,15,24240,1
14:50:11,16.16,299,483184,1
14:50:08,16.16,14,22624,1
14:50:05,16.16,51,82416,1
14:50:02,16.16,1,1616,1
14:49:59,16.15,45,72675,-1
14:49:50,16.16,13,21008,1
14:49:47,16.15,41,66215,-1
14:49:44,16.15,3,4845,-1
14:49:41,16.16,6,9696,1
14:49:38,16.16,4,6464,1
14:49:35,16.15,48,77520,-1
14:49:32,16.16,8,12928,1
14:49:29,16.15,36,58139,-1
14:49:26,16.16,16,25856,1
14:49:23,16.15,146,235789,-1
14:49:20,16.15,16,25839,-1
14:49:17,16.16,1,1616,1
14:49:14,16.15,21,33915,-1
14:49:11,16.15,72,116279,-1
14:49:08,16.15,11,17765,-1
14:49:05,16.16,41,66256,1
14:49:01,16.16,19,30704,1
14:48:57,16.15,382,616930,-1
14:48:55,16.15,3,4845,-1
14:48:52,16.16,1,1616,1
14:48:48,16.16,39,63024,1
14:48:45,16.16,317,512272,1
14:48:42,16.15,13,20994,-1
14:48:39,16.15,22,35530,-1
14:48:36,16.15,55,88824,-1
14:48:33,16.15,53,85594,-1
14:48:27,16.15,11,17765,-1
14:48:24,16.15,23,37145,-1
14:48:21,16.16,6,9696,1
14:48:18,16.16,25,40400,1
14:48:15,16.16,18,29088,1
14:48:12,16.16,71,114736,1
14:48:09,16.16,18,29088,1
14:48:06,16.16,35,56560,1
14:48:03,16.16,277,447632,1
14:48:00,16.16,156,252096,1
14:47:57,16.16,64,103424,1
14:47:54,16.15,9,14534,-1
14:47:51,16.16,4,6464,1
14:47:48,16.16,30,48480,1
14:47:45,16.16,49,79184,1
14:47:42,16.16,9,14544,1
14:47:39,16.15,20,32299,-1
14:47:36,16.16,7,11312,1
14:47:33,16.16,114,184224,1
14:47:30,16.15,14,22609,1
14:47:27,16.14,95,153330,-1
14:47:24,16.14,21,33894,-1
