code,name,listDate,exchange,type,id,sinaIndustry,sinaConcept,sinaArea,sector,industry,timestamp
000001,平安银行,1991-04-03,sz,stock,stock_sz_000001,金融行业,"['券商重仓', '深圳本地', '融资融券', '保险重仓', '基金重仓', '本月解禁', '社保重仓', '外资背景']","['深圳', '广东']",,,1991-04-03
000002,万  科Ａ,1991-01-29,sz,stock,stock_sz_000002,房地产,"['深圳本地', '股权激励', '融资融券', '保险重仓', '保障房', '基金重仓', 'QFII重仓', '前海概念', '含H股']",广东,,,1991-01-29
000004,国农科技,1990-12-01,sz,stock,stock_sz_000004,生物制药,深圳本地,"['深圳', '广东']",,,1990-12-01
000005,世纪星源,1990-12-10,sz,stock,stock_sz_000005,房地产,"['空气治理', '深圳本地', '充电桩', '污水处理', '前海概念', '固废处理', '外资背景']","['深圳', '广东']",,,1990-12-10
000006,深振业Ａ,1992-04-27,sz,stock,stock_sz_000006,房地产,"['深圳本地', '粤港澳', '前海概念']","['深圳', '广东']",,,1992-04-27
000007,全新好,1992-04-13,sz,stock,stock_sz_000007,酒店旅游,"['深圳本地', '稀缺资源', '业绩预降', '涉矿概念']","['深圳', '广东']",,,1992-04-13
000008,神州高铁,1992-05-07,sz,stock,stock_sz_000008,综合行业,"['深圳本地', '新三板', '业绩预升', '铁路基建']","['深圳', '北京']",,,1992-05-07
000009,中国宝安,1991-06-25,sz,stock,stock_sz_000009,房地产,"['石墨烯', '锂电池', '低碳经济', '军民融合', '深圳本地', '股权激励', '分拆上市', '融资融券', 'QFII重仓', '前海概念', '新三板', '循环经济', '土地流转', '特斯拉']","['深圳', '广东']",,,1991-06-25
000010,美丽生态,1995-10-27,sz,stock,stock_sz_000010,建筑建材,"['股期概念', '深圳本地', '金融参股', '装饰园林', '未股改']","['深圳', '广东']",,,1995-10-27
000011,深物业A,1992-03-30,sz,stock,stock_sz_000011,房地产,"['深圳本地', '粤港澳', '含B股', '前海概念', '业绩预升']","['深圳', '广东']",,,1992-03-30
000012,南  玻Ａ,1992-02-28,sz,stock,stock_sz_000012,玻璃行业,"['低碳经济', '深圳本地', '保障房', '含B股', '太阳能', '触摸屏', '前海概念', '苹果概念', '建筑节能', '出口退税', '新能源', '多晶硅']","['深圳', '广东']",,,1992-02-28
000014,沙河股份,1992-06-02,sz,stock,stock_sz_000014,房地产,"['广东自贸', '深圳本地', '粤港澳', '前海概念']","['深圳', '广东']",,,1992-06-02
000016,深康佳Ａ,1992-03-27,sz,stock,stock_sz_000016,家电行业,"['深圳本地', '含B股', '前海概念', '业绩预升']","['深圳', '广东']",,,1992-03-27
000017,深中华A,1992-03-31,sz,stock,stock_sz_000017,,"['深圳本地', '含B股', '未股改']","['深圳', '广东']",,,1992-03-31
000018,神州长城,1992-06-16,sz,stock,stock_sz_000018,纺织行业,"['深圳本地', '含B股']","['深圳', '广东']",,,1992-06-16
000019,深深宝Ａ,1992-10-12,sz,stock,stock_sz_000019,食品行业,"['深圳本地', '含B股']",广东,,,1992-10-12
000020,深华发Ａ,1992-04-28,sz,stock,stock_sz_000020,电子器件,"['深圳本地', '粤港澳', '含B股', '前海概念', '业绩预降']","['深圳', '广东']",,,1992-04-28
000021,深科技,1994-02-02,sz,stock,stock_sz_000021,电子信息,"['深圳本地', '分拆上市', '智能电网', '金融参股', '云计算', '参股金融']","['深圳', '广东']",,,1994-02-02
000022,深赤湾Ａ,1993-05-05,sz,stock,stock_sz_000022,交通运输,"['海上丝路', '广东自贸', '深圳本地', '含B股']","['深圳', '广东']",,,1993-05-05
000023,深天地Ａ,1993-04-29,sz,stock,stock_sz_000023,建筑建材,"['深圳本地', '粤港澳', '前海概念']","['深圳', '广东']",,,1993-04-29
000025,特  力Ａ,1993-06-21,sz,stock,stock_sz_000025,汽车制造,"['深圳本地', '含B股', '前海概念']","['深圳', '广东']",,,1993-06-21
000026,飞亚达Ａ,1993-06-03,sz,stock,stock_sz_000026,商业百货,"['深圳本地', '含B股', '国防军工', '军工航天', '奢侈品']","['深圳', '广东']",,,1993-06-03
000027,深圳能源,1993-09-03,sz,stock,stock_sz_000027,电力行业,"['创投概念', '深圳本地', '风能', '节能环保', '风能概念', '金融参股', '新三板', '整体上市', '固废处理', '循环经济', '参股金融']","['深圳', '广东']",,,1993-09-03
000028,国药一致,1993-08-09,sz,stock,stock_sz_000028,商业百货,"['深圳本地', '基金重仓', '含B股', '抗癌', '仿制药']","['深圳', '广东']",,,1993-08-09
000029,深深房Ａ,1993-09-15,sz,stock,stock_sz_000029,房地产,"['深圳本地', '粤港澳', '含B股', '业绩预降']","['深圳', '广东']",,,1993-09-15
000030,富奥股份,1993-09-29,sz,stock,stock_sz_000030,汽车制造,"['深圳本地', '含B股', '汽车电子', '特斯拉', '参股金融']","['深圳', '吉林']",,,1993-09-29
000031,中粮地产,1993-10-08,sz,stock,stock_sz_000031,房地产,"['股期概念', '深圳本地', '保障房', '金融参股', '前海概念', '业绩预升', '整体上市', '参股金融']","['深圳', '广东']",,,1993-10-08
