timestamp,code,name,low,open,close,high,volume,turnover,securityId,preClose,change,changePct,turnoverRate,tCap,mCap,factor
2016-10-18,300550,和仁科技,16.54,16.54,18.04,18.04,6600,118314.0,stock_sz_300550,12.53,5.51,43.9745,0.033,1443200000.0,360800000.0,1
2016-10-19,300550,和仁科技,19.84,19.84,19.84,19.84,1200,23808.0,stock_sz_300550,18.04,1.8,9.9778,0.006,1587200000.0,396800000.0,1
2016-10-20,300550,和仁科技,21.82,21.82,21.82,21.82,1300,28366.0,stock_sz_300550,19.84,1.98,9.9798,0.0065,1745600000.0,436400000.0,1
2016-10-21,300550,和仁科技,24.0,24.0,24.0,24.0,600,14400.0,stock_sz_300550,21.82,2.18,9.9908,0.003,1920000000.0,480000000.0,1
2016-10-24,300550,和仁科技,26.4,26.4,26.4,26.4,1800,47520.0,stock_sz_300550,24.0,2.4,10.0,0.009000000000000001,2112000000.0,528000000.0,1
2016-10-25,300550,和仁科技,29.04,29.04,29.04,29.04,3200,92928.0,stock_sz_300550,26.4,2.64,10.0,0.016,2323200000.0,580800000.0,1
2016-10-26,300550,和仁科技,31.94,31.94,31.94,31.94,4600,146924.0,stock_sz_300550,29.04,2.9,9.9862,0.023,2555200000.0,638800000.0,1
2016-10-27,300550,和仁科技,35.13,35.13,35.13,35.13,4000,140520.0,stock_sz_300550,31.94,3.19,9.9875,0.02,2810400000.0,702600000.0,1
2016-10-28,300550,和仁科技,38.64,38.64,38.64,38.64,6000,231840.0,stock_sz_300550,35.13,3.51,9.9915,0.03,3091200000.0,772800000.0,1
2016-10-31,300550,和仁科技,42.5,42.5,42.5,42.5,12100,514250.0,stock_sz_300550,38.64,3.86,9.9896,0.0605,3400000000.0,850000000.0,1
2016-11-01,300550,和仁科技,46.75,46.75,46.75,46.75,15500,724625.0,stock_sz_300550,42.5,4.25,10.0,0.0775,3740000000.0,935000000.0,1
2016-11-02,300550,和仁科技,51.43,51.43,51.43,51.43,14700,756021.0,stock_sz_300550,46.75,4.68,10.0107,0.0735,4114400000.0,1028600000.0,1
2016-11-03,300550,和仁科技,56.57,56.57,56.57,56.57,7900,446903.0,stock_sz_300550,51.43,5.14,9.9942,0.0395,4525600000.0,1131400000.0,1
2016-11-04,300550,和仁科技,62.23,62.23,62.23,62.23,17200,1070356.0,stock_sz_300550,56.57,5.66,10.0053,0.086,4978400000.0,1244600000.0,1
2016-11-07,300550,和仁科技,68.45,68.45,68.45,68.45,71646,4904168.7,stock_sz_300550,62.23,6.22,9.9952,0.3582,5476000000.0,1369000000.0,1
2016-11-08,300550,和仁科技,75.3,75.3,75.3,75.3,71354,5372956.2,stock_sz_300550,68.45,6.85,10.0073,0.3568,6024000000.0,1506000000.0,1
2016-11-09,300550,和仁科技,82.83,82.83,82.83,82.83,55033,4558383.39,stock_sz_300550,75.3,7.53,10.0,0.2752,6626400000.0,1656600000.0,1
2016-11-10,300550,和仁科技,91.11,91.11,91.11,91.11,31400,2860854.0,stock_sz_300550,82.83,8.28,9.9964,0.157,7288800000.0,1822200000.0,1
2016-11-11,300550,和仁科技,100.22,100.22,100.22,100.22,109712,10995336.64,stock_sz_300550,91.11,9.11,9.9989,0.5486,8017600000.0,2004400000.0,1
2016-11-14,300550,和仁科技,105.0,110.24,106.8,110.24,12371703,1329680673.39,stock_sz_300550,100.22,6.58,6.5656,61.8585,8544000000.0,2136000000.0,1
2016-11-15,300550,和仁科技,99.7,106.0,100.19,106.47,6335466,643247949.45,stock_sz_300550,106.8,-6.61,-6.1891,31.6773,8015200000.0,2003800000.0,1
2016-11-16,300550,和仁科技,96.52,99.42,96.76,100.89,4341501,426281990.95,stock_sz_300550,100.19,-3.43,-3.4235,21.7075,7740800000.0,1935200000.0,1
2016-11-17,300550,和仁科技,94.0,95.5,95.54,97.5,3378550,323375922.16,stock_sz_300550,96.76,-1.22,-1.2609,16.8928,7643200000.0,1910800000.0,1
2016-11-18,300550,和仁科技,95.1,95.89,95.5,96.58,2073633,198537902.13,stock_sz_300550,95.54,-0.04,-0.0419,10.3682,7640000000.0,1910000000.0,1
2016-11-21,300550,和仁科技,91.62,95.01,93.25,95.02,3143468,292516844.67,stock_sz_300550,95.5,-2.25,-2.356,15.7173,7460000000.0,1865000000.0,1
2016-11-22,300550,和仁科技,93.88,93.93,97.04,99.5,4457495,432171150.71,stock_sz_300550,93.25,3.79,4.0643,22.2875,7763200000.0,1940800000.0,1
2016-11-23,300550,和仁科技,95.51,97.99,95.63,97.99,2351108,226837425.69,stock_sz_300550,97.04,-1.41,-1.453,11.7555,7650400000.0,1912600000.0,1
2016-11-24,300550,和仁科技,93.0,95.49,93.27,96.22,1923824,182010019.7,stock_sz_300550,95.63,-2.36,-2.4678,9.6191,7461600000.0,1865400000.0,1
2016-11-25,300550,和仁科技,90.11,92.93,93.78,93.98,2175782,200520136.95,stock_sz_300550,93.27,0.51,0.5468,10.8789,7502400000.0,1875600000.0,1
2016-11-28,300550,和仁科技,90.87,93.05,90.9,93.8,1565116,143839099.96,stock_sz_300550,93.78,-2.88,-3.071,7.8256,7272000000.0,1818000000.0,1
