timestamp,price,volume,turnover,direction
15:00:03,31.26,61,190686,1
14:57:03,31.14,0,0,-1
14:56:15,31.14,1,3114,-1
14:55:48,31.14,2,6228,0
14:55:18,31.12,12,37344,-1
14:55:00,31.14,7,21798,-1
14:53:54,31.14,1,3114,1
14:53:33,31.14,8,24912,1
14:53:30,31.14,14,43596,0
14:53:09,31.17,1,3117,-1
14:52:27,31.18,8,24944,0
14:52:12,31.28,20,62560,1
14:51:18,31.17,3,9351,-1
14:51:15,31.28,29,90712,1
14:50:27,31.12,17,52904,1
14:49:45,31.12,38,118256,-1
14:49:36,31.18,3,9354,1
14:49:15,31.18,1,3118,-1
14:49:06,31.17,21,65457,1
14:48:51,31.17,3,9351,1
14:48:09,31.17,6,18702,-1
14:47:54,31.28,7,21896,1
14:47:51,31.28,5,15640,1
14:47:42,31.27,30,93810,-1
14:47:36,31.28,7,21896,1
14:47:27,31.28,12,37536,1
14:46:51,31.28,12,37536,1
14:46:42,31.27,1,3127,1
14:46:36,31.25,1,3125,-1
14:45:51,31.28,10,31280,-1
14:45:48,31.28,2,6256,-1
14:45:39,31.28,48,150144,1
14:45:33,31.27,46,143842,1
14:45:00,31.25,15,47656,1
14:44:48,31.25,10,31250,1
14:44:42,31.25,11,34375,1
14:44:39,31.25,26,81250,1
14:44:24,31.25,1,3125,1
14:44:09,31.25,68,212500,1
14:44:03,31.22,2,6244,1
14:43:33,31.2,1,3120,-1
14:43:30,31.22,18,56196,1
14:43:15,31.2,46,143520,1
14:43:12,31.17,18,56106,1
14:43:03,31.17,2,6234,1
14:42:42,31.15,2,6230,1
14:41:09,31.14,10,31140,-1
14:40:54,31.14,6,18684,1
14:40:27,31.14,1,3114,1
14:40:15,31.13,3,9339,0
14:39:27,31.13,6,18678,1
14:39:00,31.13,28,87164,1
14:36:54,31.13,13,40469,-1
14:35:36,31.14,2,6228,-1
14:35:21,31.15,3,9345,1
14:35:12,31.15,10,31150,1
14:34:39,31.15,1,3115,1
14:34:30,31.15,3,9345,1
14:34:27,31.15,8,24920,1
14:34:21,31.15,10,31150,1
14:33:48,31.14,3,9342,-1
14:33:30,31.14,2,6228,-1
14:32:18,31.14,4,12456,1
14:32:06,31.14,10,31140,1
14:31:30,31.14,12,37368,1
14:31:03,31.14,2,6228,1
14:30:12,31.14,10,31140,1
14:29:48,31.14,30,93420,1
14:28:24,31.14,4,12456,1
14:27:48,31.12,2,6224,1
14:27:39,31.12,16,49792,1
14:26:57,31.12,4,12448,1
14:26:51,31.12,4,12448,-1
14:26:48,31.12,1,3112,1
14:26:45,31.12,1,3112,1
14:26:30,31.12,1,3112,1
14:26:27,31.12,5,15560,1
14:26:03,31.12,27,84024,1
14:25:33,31.06,2,6212,-1
14:25:21,31.1,14,43540,1
14:25:00,31.06,10,31060,-1
14:24:57,31.1,26,80860,1
14:23:27,31.1,10,31100,1
14:23:21,31.09,6,18654,-1
14:23:03,31.09,3,9327,-1
14:22:30,31.1,4,12440,0
14:22:00,31.1,5,15550,1
14:21:48,31.1,10,31100,-1
14:20:39,31.12,4,12448,1
14:20:33,31.1,5,15550,-1
14:19:57,31.12,2,6224,1
14:19:54,31.1,1,3110,0
14:18:30,31.14,6,18684,1
14:18:21,31.12,9,28008,-1
14:17:57,31.14,27,84078,1
14:17:54,31.12,30,93360,-1
14:17:33,31.14,2,6228,1
14:12:54,31.09,1,3109,-1
14:12:12,31.15,1,3115,1
14:11:27,31.15,13,40495,-1
14:11:21,31.15,2,6230,-1
14:11:15,31.15,9,28035,-1
14:11:06,31.15,20,62300,-1
14:10:54,31.15,40,124600,-1
14:10:51,31.15,10,31150,-1
14:10:27,31.15,20,62300,-1
14:10:00,31.16,10,31160,-1
14:08:48,31.16,4,12464,-1
14:08:42,31.16,3,9348,1
14:07:39,31.16,2,6232,1
14:07:15,31.16,45,140220,-1
14:06:48,31.18,10,31180,1
14:05:51,31.16,7,21812,-1
14:05:42,31.16,1,3116,-1
14:03:15,31.16,5,15580,1
14:03:09,31.15,47,146405,-1
14:02:48,31.15,10,31150,-1
14:01:21,31.15,8,24920,-1
13:58:51,31.16,18,56088,-1
13:58:36,31.17,23,71691,1
13:57:18,31.17,12,37404,1
13:55:15,31.16,2,6232,-1
13:53:39,31.16,20,62320,-1
13:53:33,31.16,4,12464,-1
13:53:18,31.16,5,15580,-1
13:52:51,31.17,2,6234,-1
